Duration (in seconds);UserLanguage;id;age;gender;education;M1_1;M2_1;M3_1;M4_1;M5_1;U1_1;U2_1;U3_1;U4_1;S1_1;S2_1;S3_1;S4_1;S5_1;S6_1;I1_1;I2_1;I3_1;I4_1;I5_1;C1_1;C2_1;C4_1;C4_1;C5_1;ext_1;agr_1r;con_1;est_1r;ope_1;ext_2r;agr_2;con_2r;est_2;ope_2r;stomp_1_i;stomp_2_s;stomp_3_s;stomp_4_s;stomp_5_u;stomp_6_m;stomp_7_s;stomp_8_c;stomp_9_s;stomp_10_i;stomp_11_m;stomp_12_s;stomp_13_m;stomp_14_oldies;stomp_15_s;stomp_16_u;stomp_17_i;stomp_18_c;stomp_19_c;stomp_20_u;stomp_21_i;stomp_22_c;stomp_23_soundtrack;uom_1;uom_2r;uom_3;uom_4;uom_5;uom_6;uom_7;uom_8;uom_9;uom_10;uom_11;uom_12r;uom_13;uom_14;uom_15;eq1;eq2;eq3;eq4;eq5;eq6;eq7;eq8;eq9;eq10;eq11;eq12;eq13;eq14;eq15;eq16;eq17;eq18;eq19;eq20;eq21;eq22;sq1;sq2;sq3;sq4;sq5;sq6;sq7;sq8;sq9;sq10;sq11;sq12;sq13;sq14;sq15;sq16;sq17;sq18;sq19;sq20;sq21;sq22;sq23;sq24;sq25
1276;EN;TOM2000;20;1;1;5;4;5;4;4;3;5;5;5;5;5;5;4;5;5;5;4;5;5;5;4;5;4;5;3;4;3;6;6;7;1;6;6;7;6;7;5;7;6;7;6;3;7;4;4;4;7;5;6;4;7;7;7;7;4;7;7;6;4;1;3;4;1;5;2;1;4;3;5;4;2;4;4;4;4;2;3;4;4;4;2;2;3;3;3;4;1;2;2;2;3;4;4;3;1;1;4;4;1;4;3;1;3;3;2;4;1;1;2;3;2;3;3;4;2;1;1;4;3;2
760;EN;AHM2000;20;1;1;3;5;2;4;4;5;3;2;2;2;2;2;4;4;4;1;1;1;2;2;2;3;5;5;4;2;4;5;1;6;1;7;3;5;4;4;4;4;5;5;6;4;3;3;1;2;4;4;3;3;6;1;7;6;5;1;4;6;5;1;5;5;4;4;3;3;3;3;5;1;4;4;3;4;4;4;2;2;3;2;2;2;3;2;2;3;3;4;4;3;3;3;3;2;4;4;3;2;2;3;1;2;4;2;3;3;2;4;1;2;3;2;3;4;2;3;1;3;4;3
1387;EN;TAS2001;19;2;1;4;2;4;2;2;2;3;3;2;3;2;1;1;3;4;1;1;1;1;1;1;2;3;2;2;6;3;6;5;6;6;7;6;6;6;2;1;1;5;4;5;5;5;2;1;5;4;1;5;1;7;1;7;4;5;1;7;7;4;5;4;4;4;2;4;2;2;4;2;2;4;4;4;4;4;1;1;1;3;2;4;3;4;3;3;3;3;3;3;2;3;3;3;3;3;4;2;3;3;3;3;2;4;3;3;3;2;3;2;3;3;2;3;1;3;3;1;1;4;2
1524;EN;HOQ2001;20;2;1;3;3;3;4;4;3;4;2;3;4;3;1;3;4;4;1;1;1;3;1;3;3;3;5;3;5;5;7;2;7;4;7;7;7;3;4;2;2;5;2;4;3;2;1;1;7;1;4;7;1;7;1;7;4;1;1;7;7;5;1;5;5;5;5;5;3;3;4;5;3;2;5;2;4;4;2;2;1;3;4;4;4;4;2;2;4;4;4;3;1;3;4;4;3;3;4;2;2;1;4;4;2;1;3;2;3;1;3;1;2;3;2;1;1;4;1;3;4;1;2
798;EN;COF2002;18;1;1;3;4;2;2;4;2;2;1;2;5;2;1;3;4;3;5;4;5;5;5;2;1;1;1;2;1;1;3;1;5;1;2;3;1;6;7;6;6;4;1;1;5;1;1;3;1;3;4;1;1;4;5;1;1;1;7;1;1;5;1;4;4;4;5;1;2;3;3;5;5;5;5;5;2;2;4;4;4;1;4;1;1;1;4;1;3;1;4;1;4;1;1;1;1;1;2;1;2;1;3;4;4;2;1;1;4;1;1;1;2;1;4;2;1;2;3;1;1;3;4
934;EN;URB2001;19;1;1;5;3;4;4;5;3;2;2;3;1;2;4;4;4;2;5;5;5;3;5;3;2;3;5;1;5;4;3;6;6;3;3;2;2;7;7;2;5;6;3;7;7;5;1;7;5;6;4;5;4;1;7;7;3;1;7;1;7;4;5;3;4;2;4;1;5;3;4;4;1;4;5;3;2;3;4;3;2;1;4;3;2;1;4;2;2;2;3;2;3;2;3;1;2;2;3;3;2;1;3;2;1;4;2;2;1;2;4;2;3;4;2;3;1;1;2;1;3;3;2
1280;EN;RAY2000;20;2;1;5;3;5;2;4;1;4;3;3;4;4;4;4;4;4;2;1;4;3;4;2;4;4;4;3;3;3;6;5;6;1;6;7;5;6;5;5;5;3;2;6;4;2;6;1;5;5;6;5;5;7;5;7;7;5;5;7;7;5;4;4;3;3;3;3;2;2;3;5;4;2;4;2;3;4;2;2;3;4;1;3;4;4;4;3;4;3;4;4;1;3;3;4;3;3;3;2;2;2;3;3;2;3;2;3;2;4;1;2;2;2;2;2;1;4;2;1;4;1;1
2440;EN;Ali 2001;19;2;1;1;1;5;3;5;1;1;1;1;1;1;1;5;3;1;1;1;1;1;1;1;2;1;4;5;7;3;7;5;7;7;7;7;7;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;1;7;7;7;1;7;1;3;1;5;3;4;3;3;1;3;3;5;5;3;5;1;4;4;1;3;4;4;1;3;4;4;4;4;4;4;4;4;1;4;4;4;4;4;3;3;1;4;2;1;1;4;1;3;1;1;1;1;2;4;1;4;1;1;4;4;1;4;1
1221;EN;ZHO2001;19;1;1;3;3;4;4;4;3;3;3;3;4;4;3;4;5;4;3;3;5;4;5;4;3;3;4;3;3;5;5;6;4;6;5;6;4;7;4;4;4;5;3;4;3;3;3;4;4;5;4;4;3;4;4;5;4;3;4;4;4;2;3;1;2;4;5;4;3;4;5;5;5;4;4;3;3;3;2;2;2;3;2;2;3;3;3;3;2;3;3;3;1;2;2;3;2;2;3;4;1;2;4;3;1;4;1;2;2;3;4;3;2;2;2;3;1;1;2;2;3;2;2
1174;EN;CAR2001;19;1;1;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;6;3;6;2;5;3;6;6;4;4;4;4;3;4;3;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;3;3;2;2;2;2;3;2;4;4;3;4;2;3;3;2;2;2;2;2;4;3;3;2;3;3;3;3;3;1;3;2;3;2;3;4;1;1;1;3;2;3;4;3;2;2;3;3;2;3;2;2;4;1;3;1;1;2;2;2
1113;EN;Beg2001;19;2;1;2;1;2;2;1;1;2;1;3;2;3;1;1;2;3;1;1;1;2;2;4;2;3;1;3;2;6;5;3;3;3;6;5;5;5;4;3;3;2;2;4;3;2;2;2;2;2;5;3;2;6;2;2;2;3;2;2;4;4;4;3;4;2;1;3;2;4;2;2;2;2;3;2;3;4;2;2;3;2;3;3;3;3;2;3;2;3;3;3;2;2;2;2;2;3;1;1;3;3;2;3;2;1;3;2;3;2;1;1;2;1;2;1;2;2;2;1;3;2;2
782;EN;Ahm2000;20;1;1;5;4;5;5;5;4;5;4;4;5;3;2;4;4;5;5;3;5;5;5;4;4;4;5;4;1;7;2;7;7;2;1;1;1;1;5;5;6;7;5;5;5;5;6;4;6;7;5;6;7;6;5;7;7;7;5;6;7;4;4;2;4;1;2;2;1;3;2;1;1;1;5;1;3;1;2;4;2;3;4;1;1;4;4;4;1;3;1;2;4;1;3;3;1;1;3;2;2;1;4;3;1;4;1;2;2;1;3;3;2;4;2;3;1;4;4;1;2;3;1
741;EN;Koy2000;19;1;1;4;2;4;4;4;1;4;2;3;4;2;3;3;4;3;1;1;2;2;1;2;2;3;4;4;5;6;6;6;6;3;5;6;6;6;4;4;4;5;3;4;2;4;2;1;3;4;3;2;3;5;2;6;4;2;2;5;6;3;4;4;4;2;1;3;3;2;3;4;3;2;2;1;3;4;2;3;2;3;2;3;2;3;2;3;3;3;3;3;1;2;3;3;2;2;3;3;2;2;3;2;2;4;2;3;2;2;4;1;2;2;2;2;1;2;3;2;2;2;3
962;EN;WIL2000;20;2;1;4;4;4;5;5;2;4;4;4;2;3;2;3;4;3;4;2;3;5;5;2;2;1;4;2;5;6;3;1;3;2;6;3;2;6;7;1;7;5;5;3;1;1;1;6;7;5;6;5;7;5;7;3;1;1;7;1;5;5;1;4;5;4;5;4;4;5;5;3;1;4;4;4;1;2;4;4;3;2;4;2;2;3;3;1;3;2;3;2;2;3;3;1;1;3;3;1;4;2;3;1;3;3;3;2;3;3;3;1;2;3;4;3;2;4;3;2;4;3;3
1035;EN;POZ2000;21;2;1;4;4;4;3;4;4;4;4;4;5;4;3;4;5;2;2;1;2;2;2;3;3;3;4;3;5;3;4;3;6;4;5;4;5;5;2;4;5;5;5;5;5;4;4;2;6;5;6;6;4;5;4;5;5;4;3;5;4;4;4;4;4;4;4;3;2;3;3;4;2;4;4;3;3;3;2;2;2;3;2;3;3;3;2;3;3;3;3;3;2;3;3;3;3;3;4;2;3;2;3;3;1;4;2;2;1;1;3;3;1;4;2;2;1;1;4;2;3;3;2
1099;EN;Ahmed;20;1;1;4;1;5;1;1;1;1;1;1;1;4;1;1;4;5;3;1;1;4;2;4;2;4;4;1;2;6;5;3;6;2;6;3;5;5;5;2;2;5;5;2;2;2;2;2;2;5;2;2;2;2;2;5;2;2;2;5;7;4;4;1;4;5;3;3;3;2;3;4;4;2;3;1;3;3;3;2;2;3;1;3;3;4;3;3;3;3;3;3;1;3;3;3;3;4;4;3;2;1;3;3;2;4;2;2;2;2;3;3;2;2;2;3;1;4;3;3;2;3;3
868;EN;ZYM2000;20;2;1;3;3;2;4;2;1;1;1;2;3;3;2;4;4;3;2;1;2;4;1;3;3;3;4;4;3;7;5;2;6;2;7;4;3;5;6;5;5;5;1;2;1;1;1;1;5;6;5;5;5;2;1;7;1;1;1;7;1;5;5;4;5;5;5;4;3;4;5;4;2;5;5;5;3;3;2;1;3;3;1;3;3;4;2;2;4;3;4;4;1;3;3;3;3;4;3;2;3;2;3;1;2;3;2;2;2;1;3;2;2;2;3;2;2;3;2;2;3;3;2
837;EN;CAN2001;19;2;1;2;3;3;4;5;2;4;3;4;3;3;1;4;3;4;1;1;3;3;2;3;3;4;4;4;6;3;6;5;7;7;6;7;5;5;4;2;2;1;4;2;1;1;1;1;1;1;4;3;3;7;2;6;1;1;1;1;5;4;5;4;4;4;2;2;1;2;1;1;1;4;4;3;4;4;2;2;3;3;2;4;4;4;3;1;3;3;4;3;1;2;2;2;1;4;3;1;2;2;1;4;3;2;1;1;2;3;2;2;3;1;3;1;3;4;1;3;3;1;3
888;EN;SUN1972;48;1;2;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;7;6;6;6;4;3;6;6;4;5;6;6;6;5;6;5;5;4;6;4;5;4;6;5;5;6;6;5;5;6;5;6;4;5;4;4;3;3;1;1;2;2;4;4;2;4;2;3;3;2;2;2;3;2;3;3;3;2;2;2;3;3;3;2;3;3;3;3;2;4;4;1;3;4;2;1;4;1;1;1;1;4;2;4;4;3;3;2;2;2;3;3;4;2
1459;EN;HAN2000;20;1;1;3;1;2;3;2;1;1;1;1;4;4;4;3;4;4;3;3;3;3;2;4;3;2;4;2;3;3;2;6;6;6;3;3;3;6;5;1;1;5;1;6;2;5;1;4;4;4;3;3;4;2;4;3;4;1;5;3;6;2;4;1;2;1;2;2;3;2;2;5;4;4;3;2;3;2;3;2;1;2;3;2;3;3;3;3;2;3;2;3;4;2;2;2;2;2;2;2;2;2;3;2;2;4;2;3;1;2;3;3;4;1;2;2;1;3;1;3;3;3;3
4593;EN;SUB2000;20;2;1;4;4;5;2;3;3;5;3;5;4;3;1;2;4;3;2;1;2;4;4;4;4;2;4;2;1;2;6;2;5;2;6;6;5;3;7;3;3;5;6;5;5;5;1;2;4;5;5;6;1;7;2;5;5;5;2;6;7;4;4;2;4;2;4;1;1;2;3;2;1;2;5;2;3;3;3;1;2;3;3;3;3;4;2;2;3;2;3;4;2;3;3;3;4;3;4;1;3;2;3;3;2;2;3;2;4;1;3;2;3;3;2;4;2;3;2;1;3;2;2
1698;EN;EVA2000;20;2;1;2;3;3;3;4;2;3;3;4;4;4;1;4;3;4;4;2;3;3;4;3;2;5;5;5;3;4;5;2;5;2;6;2;2;7;5;1;5;2;2;4;6;6;2;1;1;5;4;5;1;4;1;7;1;1;7;7;2;5;1;3;5;4;5;5;5;4;4;4;2;4;5;5;3;4;4;2;4;4;2;4;3;3;2;2;4;4;4;3;3;3;2;3;3;4;2;1;4;4;2;1;4;3;2;1;3;1;3;2;1;4;3;2;2;3;3;1;2;2;3
1653;EN;SUN1999;22;2;2;2;2;2;2;2;1;1;2;2;2;2;2;3;2;3;5;5;5;5;5;3;4;3;2;2;6;4;7;3;7;5;6;1;3;6;4;4;4;5;4;5;4;5;2;5;4;3;4;7;4;5;6;6;2;2;5;5;7;5;5;4;5;4;2;2;3;4;4;5;5;5;5;5;3;3;1;2;2;2;1;3;3;3;2;4;3;3;3;3;3;3;2;3;3;4;4;2;2;1;3;1;1;4;3;1;2;1;4;4;2;2;1;1;4;4;1;2;4;2;2
796;EN;IMA2000;20;2;1;1;1;2;4;3;2;3;2;2;4;4;2;3;3;4;3;3;3;3;4;1;3;5;5;5;5;3;5;3;5;3;5;7;3;3;4;4;5;1;2;1;2;2;5;2;4;3;4;4;1;5;2;7;7;4;2;7;4;4;4;4;3;4;3;3;3;4;4;4;4;2;4;3;4;4;2;2;2;3;2;4;3;4;2;2;4;4;4;4;2;3;3;3;3;2;4;1;2;2;4;2;1;4;2;2;2;1;4;2;3;3;3;4;1;2;4;3;2;3;1
793;EN;Gui1970;50;2;1;5;4;5;5;1;5;5;4;5;3;1;4;2;4;2;1;1;5;3;4;4;3;3;3;4;6;6;7;7;6;7;6;7;7;2;6;6;5;7;7;6;6;5;5;2;2;1;2;6;6;6;1;4;3;2;3;6;6;5;5;5;4;5;4;1;1;2;1;4;1;5;5;5;4;4;1;2;1;3;2;4;4;4;1;4;3;4;3;3;2;3;4;3;4;4;4;1;3;4;3;3;3;4;3;1;3;3;4;3;1;3;2;1;2;2;1;3;4;3;2
1169;EN;STA2000;20;2;1;5;2;5;2;4;4;2;4;1;3;4;3;4;5;5;4;1;2;2;3;4;4;2;3;5;5;5;6;1;5;5;6;6;4;6;6;4;5;7;1;7;1;7;5;1;2;6;2;7;6;6;5;7;7;1;6;7;7;5;5;4;4;4;4;1;2;2;2;2;2;2;5;2;3;4;2;1;2;4;1;4;3;4;2;3;3;4;3;3;1;3;3;3;2;3;3;1;4;2;2;1;3;1;2;3;2;3;3;3;2;1;4;2;4;4;2;2;4;1;4
1618;EN;Cro2001;19;1;1;1;3;3;3;4;3;3;5;4;5;4;1;3;2;5;5;4;3;4;4;3;4;4;2;3;4;6;5;6;6;6;6;4;5;7;4;4;4;2;2;3;3;5;4;4;4;5;4;4;2;4;4;4;3;1;5;4;5;4;2;4;3;2;2;1;3;3;2;4;5;2;1;1;3;4;1;2;1;3;1;4;2;4;1;4;3;2;4;2;1;3;3;1;3;3;2;1;1;4;2;2;1;2;1;3;3;3;2;1;4;3;3;2;2;4;3;1;4;2;2
4168;EN;LUX2001;19;1;2;3;3;2;3;3;1;2;3;2;2;3;3;3;2;3;4;5;4;3;4;3;3;3;4;2;6;2;5;4;6;7;5;4;5;6;5;3;4;4;2;4;3;4;1;7;2;4;2;3;1;4;6;5;4;2;5;2;5;5;2;3;3;4;3;3;5;4;3;5;5;4;5;3;3;3;2;2;2;3;2;2;2;3;2;2;3;3;3;3;2;3;3;3;2;3;4;3;2;1;2;3;2;4;3;3;2;2;4;2;3;3;2;3;4;2;2;2;2;3;3
1551;EN;WEL2000;20;1;1;4;4;4;4;3;2;4;4;5;4;2;2;4;4;4;5;3;4;4;4;3;3;2;3;3;3;6;6;1;4;3;6;4;3;5;4;4;3;3;5;4;3;4;4;4;4;2;4;2;2;6;5;3;3;3;7;3;6;4;5;4;4;1;2;2;1;4;3;3;2;4;4;2;3;3;3;2;3;3;2;2;2;3;1;2;2;3;4;3;1;2;3;2;3;3;2;2;2;3;3;3;1;4;3;2;2;2;3;4;3;2;3;1;1;3;2;2;3;3;1
1120;EN;MOR1999;22;2;1;4;2;4;3;1;1;1;1;1;5;3;2;3;4;4;3;2;3;2;4;2;1;1;2;1;2;2;3;1;5;2;5;1;4;6;4;4;2;6;1;6;1;3;1;4;1;5;4;1;2;1;3;1;1;1;4;1;4;5;1;4;3;2;4;3;5;4;2;2;2;4;5;3;1;4;4;3;4;2;3;3;3;2;2;2;4;1;4;2;2;4;1;2;3;4;3;1;2;1;3;4;2;3;1;1;2;1;2;3;2;1;2;3;3;3;1;2;3;2;2
1326;EN;TOL1990;30;1;2;3;4;3;4;3;3;2;2;4;2;3;3;2;3;3;4;5;5;4;4;2;2;2;2;2;1;5;1;1;5;6;6;1;2;5;6;2;2;5;5;5;4;3;1;7;4;4;5;5;4;3;4;4;3;1;4;3;6;5;4;4;5;3;2;2;2;1;1;4;4;4;4;3;2;4;4;3;2;1;3;2;1;3;2;1;2;4;3;2;1;2;1;3;1;4;2;1;2;1;4;1;3;4;2;3;3;1;2;3;2;2;3;1;3;3;1;1;4;2;1
1240;EN;Bri1996;24;2;2;2;3;3;3;3;3;2;3;2;3;3;3;4;2;3;4;4;4;4;4;3;3;2;3;2;2;5;5;3;4;2;6;3;3;5;5;2;4;4;4;3;3;4;2;6;4;5;4;4;3;4;6;3;3;4;7;4;5;5;4;3;4;4;2;3;4;2;2;5;5;5;4;4;1;3;3;2;3;2;3;2;2;1;2;3;2;3;3;2;2;2;3;2;2;3;3;1;2;1;3;1;1;4;4;3;4;1;4;2;2;1;2;2;3;4;2;2;3;2;3
1111;EN;RAH2002;18;2;1;4;4;4;2;4;3;3;3;3;3;3;2;3;4;3;4;1;3;2;3;2;1;2;2;2;4;5;3;3;5;2;7;6;7;7;4;4;4;7;2;3;1;1;1;2;3;4;3;3;1;7;3;7;2;7;6;4;7;5;5;3;3;2;4;3;1;3;4;5;5;5;4;4;4;3;3;1;3;4;3;4;4;4;2;1;3;4;3;4;4;4;3;3;3;2;3;2;2;2;3;1;2;1;2;3;2;1;2;3;3;2;2;3;2;3;2;2;2;2;2
1043;EN;BEG2001;20;2;1;5;2;5;4;4;1;4;4;4;4;4;1;3;4;3;4;1;2;4;4;1;4;4;5;4;6;7;5;6;6;3;7;6;5;6;4;4;5;5;1;5;1;3;1;1;4;6;6;1;1;7;4;7;5;1;6;7;7;4;5;5;5;4;1;1;2;2;2;5;4;4;5;4;3;4;1;1;1;3;1;4;3;4;1;3;3;4;3;3;2;3;3;3;2;2;3;1;4;1;4;3;1;2;2;4;2;2;3;2;2;3;3;3;1;4;1;3;4;3;1
937;EN;MOO1996;24;2;2;5;3;5;4;5;4;4;4;4;3;4;4;5;5;4;5;5;5;5;5;4;3;3;3;3;3;3;5;2;5;2;7;4;3;6;7;5;5;6;5;4;7;4;5;6;5;5;5;7;4;5;5;4;5;4;7;5;6;4;3;3;4;4;4;2;3;3;4;5;4;4;4;3;3;4;4;4;3;2;2;3;3;3;2;1;3;2;4;3;2;3;2;2;3;4;3;2;2;1;4;4;2;3;2;1;2;1;3;4;2;3;2;3;1;3;3;2;2;3;2
1108;EN;KHI2001;19;2;1;4;4;5;5;4;1;3;2;4;4;3;3;4;4;3;1;1;1;1;2;3;1;3;5;4;5;3;6;3;6;4;6;3;3;5;3;2;4;2;3;2;1;2;1;1;3;4;4;4;3;5;2;7;5;4;1;7;6;5;3;4;3;2;1;3;2;2;1;4;2;5;5;2;4;4;3;1;3;4;3;4;3;4;3;3;4;3;4;3;2;4;3;4;3;3;2;4;2;2;3;3;2;2;3;2;2;1;3;2;1;3;2;3;1;3;3;2;1;3;1
793;EN;PAT2000;20;1;1;5;4;5;5;5;2;4;2;4;3;2;1;5;4;4;1;1;1;1;1;3;1;2;3;4;6;3;6;6;7;3;6;6;4;6;1;1;1;7;1;1;1;1;1;1;1;4;1;1;1;1;1;6;4;1;1;4;1;5;4;4;5;1;2;3;3;2;4;4;3;4;4;5;4;3;2;1;3;4;2;3;3;4;3;3;3;3;4;3;3;3;3;3;3;3;3;2;2;2;2;3;1;3;1;2;1;2;2;4;1;4;1;1;3;2;1;2;3;1;3
1250;EN;Kol1998;23;2;1;4;2;4;3;2;4;2;2;4;4;2;3;2;4;4;4;2;3;4;4;2;4;4;2;2;3;7;5;3;7;3;7;3;6;6;5;4;3;5;2;7;2;2;3;2;4;3;4;3;3;6;5;6;4;2;5;6;4;5;5;5;4;4;2;3;2;2;2;4;1;5;4;4;4;4;1;1;2;3;3;4;3;3;2;4;3;3;4;4;1;4;3;3;2;3;4;1;4;3;2;1;2;3;3;4;1;2;3;2;3;3;4;1;2;3;1;2;3;2;3
1472;EN;MOR2001;19;1;1;3;2;4;2;2;4;2;4;2;1;4;1;2;3;3;2;1;2;3;4;1;1;1;4;2;5;2;7;5;6;3;6;7;6;3;5;5;6;4;5;2;1;1;1;1;2;5;1;7;1;1;5;2;1;1;7;1;5;4;1;2;2;1;4;2;5;4;5;2;2;3;5;2;4;3;2;2;3;4;3;4;3;4;3;3;4;4;4;3;2;4;4;4;4;3;4;3;2;3;3;1;1;4;1;2;1;2;4;2;2;3;2;3;3;3;3;4;2;3;2
941;EN;Bry1982;38;2;1;4;3;4;3;3;2;4;3;3;4;3;4;4;4;4;1;1;1;4;4;3;4;4;4;4;5;5;5;4;6;4;7;7;6;6;5;5;2;7;1;7;1;7;1;1;6;5;1;1;4;7;4;4;4;2;1;4;1;5;5;3;4;2;1;1;1;2;1;1;1;1;5;1;4;4;1;1;2;4;1;4;4;4;4;4;4;4;4;4;1;4;4;3;3;3;2;3;3;3;3;2;2;1;3;3;3;3;2;2;2;2;2;2;2;4;1;1;4;1;4
879;EN;Akh2001;19;2;1;5;1;4;5;2;2;1;4;4;4;4;2;4;4;4;5;2;2;5;5;5;5;2;4;2;3;2;6;2;6;2;3;6;5;3;3;4;3;5;2;5;3;3;4;2;4;3;4;3;1;7;6;6;5;5;5;7;7;4;5;3;1;4;5;3;1;2;2;2;2;1;4;2;2;4;3;2;2;1;2;2;3;3;3;2;1;3;2;4;2;3;1;2;1;2;3;1;1;4;2;2;3;2;2;2;1;2;3;4;1;3;1;4;2;2;4;3;3;4;2
1622;EN;HUS2001;19;2;1;4;2;4;5;3;1;4;2;5;4;1;1;1;3;2;4;1;5;5;5;2;1;4;5;1;1;3;6;2;6;2;6;3;5;5;5;1;1;3;2;4;1;4;2;6;4;2;5;5;1;7;5;6;3;3;6;5;6;4;4;5;5;1;1;3;2;3;2;4;3;4;4;2;3;3;3;1;1;3;1;4;3;3;2;2;4;4;4;4;3;3;2;3;2;2;3;1;3;1;1;3;1;2;1;4;2;4;4;1;2;1;1;1;1;4;1;1;4;1;4
825;EN;SH1999;21;2;1;4;3;5;3;4;2;3;3;5;4;3;3;3;4;5;2;1;1;2;3;1;1;2;2;1;3;6;7;5;7;1;7;4;7;7;4;4;5;5;2;2;4;2;2;2;5;5;4;4;4;5;2;5;5;4;5;5;5;4;5;4;5;2;2;3;3;2;2;4;4;4;4;2;3;4;1;1;1;4;1;4;4;4;2;2;4;4;4;4;1;4;3;4;2;3;4;1;2;2;3;1;1;4;1;3;2;2;3;2;2;1;3;3;1;3;2;1;3;3;3
7956;EN;Ker1974;47;2;1;2;3;3;3;3;3;3;4;4;2;2;4;2;3;2;3;3;3;2;3;2;2;5;3;3;6;3;6;4;7;6;3;4;4;3;4;4;4;4;5;7;3;3;4;5;2;2;2;6;6;7;6;7;6;1;2;7;5;5;4;4;2;4;1;1;1;1;1;5;5;3;5;4;2;1;2;1;2;3;3;2;2;2;3;3;1;4;3;2;4;2;2;2;3;2;3;2;3;3;2;3;1;3;2;2;1;1;3;3;3;2;1;3;2;3;3;1;4;3;2
1182;EN;Sun1972;49;2;2;2;4;2;4;3;3;3;2;4;2;2;2;4;2;2;2;2;4;4;2;4;2;2;3;2;1;1;7;3;1;7;5;7;3;1;4;4;3;3;3;5;3;3;3;3;3;3;3;5;3;7;3;4;3;2;3;3;4;4;5;2;2;2;2;2;2;4;2;4;4;2;4;2;2;1;3;1;1;3;4;3;3;2;3;2;3;4;3;4;3;3;2;4;3;2;4;3;3;3;3;1;2;3;3;2;2;2;3;1;2;2;2;2;2;2;2;2;3;2;3
1429;EN;Coo1972;48;1;2;4;4;4;3;5;4;4;4;4;5;2;5;5;5;3;4;4;3;4;5;3;5;2;3;4;3;3;6;3;6;3;7;4;3;3;7;5;7;7;6;4;3;6;5;6;3;3;3;6;6;7;6;3;7;3;7;7;7;4;4;3;2;2;1;2;2;2;2;4;4;2;4;2;2;3;2;2;2;2;3;2;2;2;3;3;2;3;2;3;3;2;2;2;2;3;3;1;3;4;3;4;3;2;2;3;2;1;2;4;3;2;2;1;3;3;1;2;4;2;3
